"","ibge","week","year","municipality","population","deaths","likely_cases","cases_pcap","deaths_pcap","Years.Range"
"175","130260","16",2023,"130260 MANAUS",2063689,0,21,1.01759518997291,0,"2023/2024"
"176","130260","16",2024,"130260 MANAUS",2279686,0,49,2.14941882346955,0,"2024/2025"
"177","130260","17",2014,"130260 MANAUS",2020301,0,156,7.72162167914583,0,"2014/2015"
"178","130260","17",2015,"130260 MANAUS",2057711,0,27,1.31213761310505,0,"2015/2016"
"179","130260","17",2016,"130260 MANAUS",2094391,0,318,15.1834113114504,0,"2016/2017"
"180","130260","17",2017,"130260 MANAUS",2130264,0,89,4.17788593338666,0,"2017/2018"
"181","130260","17",2018,"130260 MANAUS",2145444,0,44,2.05085753811332,0,"2018/2019"
"182","130260","17",2019,"130260 MANAUS",2182763,0,18,0.824642895266229,0,"2019/2020"
"183","130260","17",2020,"130260 MANAUS",2219580,0,4,0.180214274772705,0,"2020/2021"
"184","130260","17",2021,"130260 MANAUS",2255903,0,154,6.82653465153422,0,"2021/2022"
"185","130260","17",2022,"130260 MANAUS",2054731,0,34,1.65471781951019,0,"2022/2023"
"186","130260","17",2023,"130260 MANAUS",2063689,0,49,2.37438877660345,0,"2023/2024"
"187","130260","17",2024,"130260 MANAUS",2279686,0,23,1.00891087632244,0,"2024/2025"
"188","130260","18",2014,"130260 MANAUS",2020301,0,92,4.55377688770139,0,"2014/2015"
"189","130260","18",2015,"130260 MANAUS",2057711,0,30,1.45793068122783,0,"2015/2016"
"190","130260","18",2016,"130260 MANAUS",2094391,0,250,11.9366441127755,0,"2016/2017"
"191","130260","18",2017,"130260 MANAUS",2130264,0,60,2.81655231464269,0,"2017/2018"
"192","130260","18",2018,"130260 MANAUS",2145444,0,26,1.2118703634306,0,"2018/2019"
"193","130260","18",2019,"130260 MANAUS",2182763,0,13,0.595575424358943,0,"2019/2020"
"194","130260","18",2020,"130260 MANAUS",2219580,0,13,0.58569639301129,0,"2020/2021"
"195","130260","18",2021,"130260 MANAUS",2255903,0,140,6.20594059230384,0,"2021/2022"
"196","130260","18",2022,"130260 MANAUS",2054731,0,36,1.75205416183432,0,"2022/2023"
"197","130260","18",2023,"130260 MANAUS",2063689,0,20,0.969138276164674,0,"2023/2024"
"198","130260","18",2024,"130260 MANAUS",2279686,0,20,0.877313805497775,0,"2024/2025"
"199","130260","19",2014,"130260 MANAUS",2020301,0,86,4.25679143850347,0,"2014/2015"
"200","130260","19",2015,"130260 MANAUS",2057711,0,46,2.23549371121601,0,"2015/2016"
"201","130260","19",2016,"130260 MANAUS",2094391,0,183,8.73762349055167,0,"2016/2017"
"202","130260","19",2017,"130260 MANAUS",2130264,0,47,2.20629931313678,0,"2017/2018"
"203","130260","19",2018,"130260 MANAUS",2145444,0,30,1.39831195780454,0,"2018/2019"
